BOSTON MEDICAL CENTER,1869400;
BROWN UNIVERSITY,2395458;
UNIVERSITY OF LOUISVILLE,6870954;
FLORIDA INTERNATIONAL UNIVERSITY,11199417;
RESEARCH TRIANGLE INSTITUTE,1872763;
UNIVERSITY OF MINNESOTA,6563757;
UNIVERSITY OF TENNESSEE HEALTH SCI CTR,7360979;
JOHNS HOPKINS UNIVERSITY,1889114;
STATE UNIVERSITY OF NEW YORK AT BUFFALO,1967703;
"STATE UNIVERSITY OF NY,BINGHAMTON",8645561;
"RUTGERS, THE STATE UNIV OF N.J.",2428972;
HARVARD MEDICAL SCHOOL,2677952;
IDAHO STATE UNIVERSITY,8206518;
UNIVERSITY OF COLORADO DENVER,2087384;
UNIVERSITY OF WASHINGTON,8187953;
PACIFIC INSTITUTE FOR RES AND EVALUATION,8767514;
DE PAUL UNIVERSITY,7356362;
BRANDEIS UNIVERSITY,2448246;
BROWN UNIVERSITY,1954721;
PACIFIC INSTITUTE FOR RES AND EVALUATION,7614933;
UNIVERSITY OF ILLINOIS AT CHICAGO,1894370;
UNIV OF MASSACHUSETTS MED SCH WORCESTER,8545563;
WASHINGTON UNIVERSITY,1893416;
RHODE ISLAND HOSPITAL,1902071;
ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,6374207;
BROWN UNIVERSITY,6268657;
UNIVERSITY OF SOUTH DAKOTA,6866194;
UNIVERSITY OF ILLINOIS AT CHICAGO,7929995;
WASHINGTON UNIVERSITY,2084013;
SCRIPPS RESEARCH INSTITUTE,8032785;
UNIVERSITY OF MARYLAND BALTIMORE,1870290;
UNIV OF NORTH CAROLINA CHAPEL HILL,1859185;
YALE UNIVERSITY,6273477;
PALO ALTO INSTITUTE,8666353;
UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,8907039;
WAKE FOREST UNIVERSITY HEALTH SCIENCES,1902086;
YALE UNIVERSITY,1864273;
UNIVERSITY OF WASHINGTON,8023015;
MEDICAL UNIVERSITY OF SOUTH CAROLINA,1869389;
UNIV OF MASSACHUSETTS MED SCH WORCESTER,2106919;
INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,1906896;
CENTRE FOR ADDICTION AND MENTAL HEALTH,8380866 (contact);7846904;
OREGON HEALTH &SCIENCE UNIVERSITY,7758165;
NEW YORK UNIVERSITY,3155385;
SYRACUSE UNIVERSITY,1872653;
JOHNS HOPKINS UNIVERSITY,1909835;
PACIFIC INSTITUTE FOR RES AND EVALUATION,2106241;
UNIV OF MASSACHUSETTS MED SCH WORCESTER,1891789;
STATE UNIVERSITY NEW YORK STONY BROOK,1941389;
MEDICAL UNIVERSITY OF SOUTH CAROLINA,8032898;
HARVARD MEDICAL SCHOOL,1861057;
