JOHNS HOPKINS UNIVERSITY,1881304;
RHODE ISLAND HOSPITAL,1864295;
SUNY DOWNSTATE MEDICAL CENTER,2404985;
MOUNT SINAI SCHOOL OF MEDICINE OF NYU,6374207;
LOYOLA UNIVERSITY CHICAGO,1859187;
UNIVERSITY OF SOUTHERN CALIFORNIA,1878176;
UNIVERSITY OF NORTH DAKOTA,1970862;
VETERANS MEDICAL RESEARCH FDN/SAN DIEGO,1902082;
PURDUE UNIVERSITY WEST LAFAYETTE,1889090;
UNIVERSITY OF PITTSBURGH AT PITTSBURGH,1862457;
UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,1892891;
OREGON HEALTH AND SCIENCE UNIVERSITY,1864301;
UNIVERSITY OF CALIFORNIA DAVIS,1862099;
UNIVERSITY OF TEXAS AUSTIN,1878171;
MOUNT SINAI SCHOOL OF MEDICINE OF NYU,6374207;
UPSTATE MEDICAL UNIVERSITY,2086990;
UPSTATE MEDICAL UNIVERSITY,2086990;
STATE UNIVERSITY OF NEW YORK AT BUFFALO,1967703;
UNIVERSITY OF BRITISH COLUMBIA,1860374;
NORTHWESTERN UNIVERSITY,1862703;
HACKENSACK UNIVERSITY MEDICAL CENTER,1879454;
UNIVERSITY OF NEBRASKA MEDICAL CENTER,1860813;
UNIVERSITY OF NEBRASKA MEDICAL CENTER,1860813;
UNIVERSITY OF ALABAMA AT BIRMINGHAM,1870464;
UNIV OF MASSACHUSETTS MED SCH WORCESTER,1878173;
UNIVERSITY OF PITTSBURGH AT PITTSBURGH,1862457;
UNIVERSITY OF WASHINGTON,1864296;
RHODE ISLAND HOSPITAL,1864295;
UNIVERSITY OF SOUTH FLORIDA,1899207;
SCRIPPS RESEARCH INSTITUTE,1877486;
UNIV OF MASSACHUSETTS MED SCH WORCESTER,1891789;
ARKANSAS CHILDREN'S HOSPITAL RES INST,6382837;
THOMAS JEFFERSON UNIVERSITY,1899205;
UNIVERSITY OF COLORADO AT BOULDER,1866059;
UNIVERSITY OF ALABAMA AT BIRMINGHAM,1899214;
JOHNS HOPKINS UNIVERSITY,1884341;
UNIVERSITY OF MICHIGAN AT ANN ARBOR,2080758;
UNIVERSITY OF ILLINOIS AT CHICAGO,1879641;
UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,1893938;
GEORGE WASHINGTON UNIVERSITY,1878983;
UNIVERSITY OF COLORADO DENVER,1866554;
UNIVERSITY OF MINNESOTA TWIN CITIES,1865147;
YALE UNIVERSITY,1860625;
BROOKHAVEN SCIENCE ASSOC-BROOKHAVEN LAB,6807051;
LOUISIANA STATE UNIV HSC SHREVEPORT,1871437;
MONELL CHEMICAL SENSES CENTER,1862456;
MEDICAL UNIVERSITY OF SOUTH CAROLINA,1869389;
UNIVERSITY OF IOWA,1970798;
UNIVERSITY OF COLORADO DENVER,1878129;
UNIVERSITY OF CALIFORNIA SAN FRANCISCO,1868167;
UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN,1884346;
BROWN UNIVERSITY,1901811;
PACIFIC INSTITUTE FOR RES AND EVALUATION,1869397;
THOMAS JEFFERSON UNIVERSITY,1858031;
MEDICAL UNIVERSITY OF SOUTH CAROLINA,1884344;
UNIVERSITY OF ILLINOIS AT CHICAGO,1894370;
UNIVERSITY OF ILLINOIS AT CHICAGO,1970784;
"CV THERAPEUTICS, INC.",1970739;
UNIVERSITY OF CALIFORNIA SAN FRANCISCO,6782233;
STATE UNIVERSITY OF NEW YORK AT BUFFALO,1883849;
UNIVERSITY OF TEXAS HLTH SCI CTR SAN ANT,1884342;
DUKE UNIVERSITY,1868904;
INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,1891513;
"CHESTNUT HEALTH SYSTEMS, INC.",1970747;
CHILDREN'S HOSP PITTSBURGH/UPMC HLTH SYS,7969922;
SAN DIEGO STATE UNIVERSITY,1878177;
UNIVERSITY OF PITTSBURGH AT PITTSBURGH,1884338;
UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,1899196;
UNIVERSITY OF LOUISVILLE,1902075;
SCRIPPS RESEARCH INSTITUTE,1862383;
GEORGE WASHINGTON UNIVERSITY,1878983;
UNIVERSITY OF TEXAS HLTH SCI CTR SAN ANT,1894718;
UNIVERSITY OF WASHINGTON,1861277;
WAYNE STATE UNIVERSITY,1956907;
UNIVERSITY OF COLORADO AT BOULDER,1894364;
INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,1884336;
STANFORD UNIVERSITY,1899194;
NORTHERN CALIFORNIA INSTITUTE RES &EDUC,1884334;
SAN DIEGO STATE UNIVERSITY,1970723;
UNIVERSITY OF WASHINGTON,1877478;
BOSTON MEDICAL CENTER,6182791;
TEXAS AGRILIFE RESEARCH,1962556;
MEDICAL UNIVERSITY OF SOUTH CAROLINA,6691061;
THOMAS JEFFERSON UNIVERSITY,8186915;
MONELL CHEMICAL SENSES CENTER,2249981;
OREGON HEALTH AND SCIENCE UNIVERSITY,7981262;
UNIVERSITY OF WISCONSIN MADISON,1889087;
OREGON HEALTH AND SCIENCE UNIVERSITY,1925426;
MOUNT SINAI SCHOOL OF MEDICINE OF NYU,1878147;
NORTHERN CALIFORNIA INSTITUTE RES &EDUC,1926163;
OREGON STATE UNIVERSITY,1864062;
STANFORD UNIVERSITY,1878132;
IDAHO STATE UNIVERSITY,1870492;
HARVARD UNIVERSITY (SCH OF PUBLIC HLTH),1880919;
YALE UNIVERSITY,1897759;
VETERANS MEDICAL RESEARCH FDN/SAN DIEGO,1889116;
INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,1891513;
UNIVERSITY OF NEBRASKA MEDICAL CENTER,7718089;
PENNSYLVANIA STATE UNIV HERSHEY MED CTR,1864275;
NEW YORK STATE PSYCHIATRIC INSTITUTE,1971507;
YALE UNIVERSITY,1864273;
VIRGINIA COMMONWEALTH UNIVERSITY,1858492;
ALBANY MEDICAL COLLEGE,1858806;
RHODE ISLAND HOSPITAL,1864295;
UNIVERSITY OF COLORADO DENVER,1864310;
UNIVERSITY OF COLORADO DENVER,1864310;
OREGON RESEARCH INSTITUTE,1889180;
UNIVERSITY OF TEXAS AUSTIN,1860811;
UNIVERSITY OF TENNESSEE HEALTH SCI CTR,1861056;
UNIV OF MASSACHUSETTS MED SCH WORCESTER,1891789;
UNIVERSITY OF IOWA,2084948;
RUTGERS THE ST UNIV OF NJ NEW BRUNSWICK,1861273;
CASE WESTERN RESERVE UNIVERSITY,2086075;
EMORY UNIVERSITY,8485499;
"PALO ALTO INSTITUTE FOR RES &EDU, INC.",1861279;
UNIVERSITY OF KENTUCKY,7876958;
LOUISIANA STATE UNIV HSC NEW ORLEANS,1873966;
UNIVERSITY OF SOUTH CAROLINA AT COLUMBIA,1869083;
UNIVERSITY OF TEXAS AUSTIN,1902080;
UNIVERSITY OF COLORADO DENVER,1867589;
UNIVERSITY OF PITTSBURGH AT PITTSBURGH,1870298;
CASE WESTERN RESERVE UNIVERSITY,1866065;
IDAHO STATE UNIVERSITY,1866064;
COLUMBIA UNIV NEW YORK MORNINGSIDE,1861913;
UNIVERSITY OF SOUTH FLORIDA,1899207;
INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,1899202;
STATE UNIVERSITY NEW YORK BINGHAMTON,1864288;
UNIVERSITY OF MISSOURI-COLUMBIA,1894664;
UNIVERSITY OF MISSOURI-COLUMBIA,1894664;
CASE WESTERN RESERVE UNIVERSITY,1866065;
CORNELL UNIVERSITY ITHACA,1891787;
INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,1899198;
LOYOLA UNIVERSITY CHICAGO,1862316;
UNIVERSITY OF KANSAS MEDICAL CENTER,1866780;
UNIVERSITY OF MICHIGAN AT ANN ARBOR,1884325;
UNIVERSITY OF FLORIDA,1871074;
UNIVERSITY OF CALIFORNIA LOS ANGELES,2152680;
UNIVERSITY OF CALIFORNIA LOS ANGELES,2152680;
DUKE UNIVERSITY,1878097;
UNIVERSITY OF CALIFORNIA SAN DIEGO,1865417;
MORTON CENTER,6382863;
UNIVERSITY OF CONNECTICUT SCH OF MED/DNT,1859499;
UNIVERSITY OF OKLAHOMA HLTH SCIENCES CTR,1871726;
UNIVERSITY OF MICHIGAN AT ANN ARBOR,1862210;
ARKANSAS CHILDREN'S HOSPITAL RES INST,1942674;
UNIVERSITY OF COLORADO AT BOULDER,1857751;
UNIVERSITY OF WISCONSIN MADISON,1884343;
SCRIPPS RESEARCH INSTITUTE,1879432;
UNIVERSITY OF TENNESSEE HEALTH SCI CTR,1864458;
UNIVERSITY OF TEXAS HLTH SCI CTR SAN ANT,1867350;
UNIVERSITY OF PITTSBURGH AT PITTSBURGH,1878182;
SRI INTERNATIONAL,1873782;
UNIVERSITY OF TEXAS AUSTIN,1878171;
INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,1870290;
SAN DIEGO STATE UNIVERSITY,1886421;
UNIVERSITY OF NEBRASKA MEDICAL CENTER,1868402;
STATE UNIVERSITY NEW YORK BINGHAMTON,2257809;
PACIFIC INSTITUTE FOR RES AND EVALUATION,1878151;
SYRACUSE UNIVERSITY,1967448;
UNIVERSITY OF WISCONSIN MADISON,1873957;
PENNSYLVANIA STATE UNIVERSITY-UNIV PARK,1881818;
PENNSYLVANIA STATE UNIVERSITY-UNIV PARK,1881818;
BUFFALO STATE COLLEGE,1891781;
UNIVERSITY OF KENTUCKY,1970787;
SCRIPPS RESEARCH INSTITUTE,1869398;
UNIVERSITY OF ROCHESTER,1870122;
WASHINGTON UNIVERSITY,1864284;
UNIVERSITY OF NORTH TEXAS HLTH SCI CTR,1894367;
UNIVERSITY OF SOUTHERN CALIFORNIA,1895258;
INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,1954743;
UNIVERSITY OF OREGON,6849949;
UNIVERSITY OF WINDSOR,6163208;
UNIVERSITY OF SYDNEY,1970808;
UNIVERSITY OF GEORGIA (UGA),1866629;
STATE UNIVERSITY OF NEW YORK AT BUFFALO,1870176;
SALK INSTITUTE FOR BIOLOGICAL STUDIES,1889106;
RESEARCH INST NATIONWIDE CHILDREN'S HOSP,1880770;
ARKANSAS CHILDREN'S HOSPITAL RES INST,1861876;
UNIVERSITY OF CONNECTICUT SCH OF MED/DNT,1884726;
HARVARD UNIVERSITY (MEDICAL SCHOOL),1861057;
JOHNS HOPKINS UNIVERSITY,1867411;
INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,1906522;
UNIVERSITY OF TEXAS MEDICAL BR GALVESTON,1879160;
LSU PENNINGTON BIOMEDICAL RESEARCH CTR,2274845;
MOUNT SINAI SCHOOL OF MEDICINE OF NYU,1878147;
PRINCETON UNIVERSITY,1877430;
UNIVERSITY OF SOUTHERN CALIFORNIA,2105294;
THOMAS JEFFERSON UNIVERSITY,1885451;
DARTMOUTH COLLEGE,1968519;
RHODE ISLAND HOSPITAL,1958753;
UNIVERSITY OF ARIZONA,1983826;
ARKANSAS CHILDREN'S HOSPITAL RES INST,1861876;
WASHINGTON UNIVERSITY,1893416;
WASHINGTON UNIVERSITY,1886645;
WASHINGTON UNIVERSITY,1883638;
UNIVERSITY OF ALABAMA AT BIRMINGHAM,2104377;
UNIVERSITY OF VIRGINIA CHARLOTTESVILLE,1859997;
UNIVERSITY OF PITTSBURGH AT PITTSBURGH,1884338;
UNIVERSITY OF COLORADO AT BOULDER,1891038;
STATE UNIVERSITY NEW YORK BINGHAMTON,1864288;
UNIVERSITY OF CALIFORNIA SAN FRANCISCO,6782233;
CENTRE FOR ADDICTION AND MENTAL HEALTH,10485773;
UNIVERSITY OF PENNSYLVANIA,1974739;
UNIVERSITY OF PENNSYLVANIA,1974739;
UNIVERSITY OF CALIFORNIA SAN FRANCISCO,1907338;
LOUISIANA STATE UNIV A&M COL BATON ROUGE,8441936;
UNIVERSITY OF COLORADO DENVER,1884350;
MOUNT SINAI SCHOOL OF MEDICINE OF NYU,1895216;
UNIVERSITY OF MIAMI CORAL GABLES,1875773;
UNIVERSITY OF KENTUCKY,8535326;
UNIVERSITY OF TEXAS MEDICAL BR GALVESTON,6617165;
SCRIPPS RESEARCH INSTITUTE,1874203;
WAKE FOREST UNIVERSITY HEALTH SCIENCES,1898832;
NEUROSCIENCE RESEARCH INSTITUTE OF NC,1898832;
UNIVERSITY OF CALIFORNIA LOS ANGELES,1894519;
TEXAS A&M UNIVERSITY HEALTH SCIENCE CTR,1860548;
WASHINGTON STATE UNIVERSITY,2070391;
EMMA PENDLETON BRADLEY HOSPITAL,1882610;
HENRY FORD HEALTH SYSTEM,1881637;
CASE WESTERN RESERVE UNIVERSITY,1881302;
