UNIVERSITY OF IOWA,1970848;
JOHNS HOPKINS UNIVERSITY,1881304;
RHODE ISLAND HOSPITAL,1864295;
SUNY DOWNSTATE MEDICAL CENTER,2404985;
MOUNT SINAI SCHOOL OF MEDICINE OF NYU,6374207;
LOYOLA UNIVERSITY CHICAGO,1859187;
UNIVERSITY OF SOUTHERN CALIFORNIA,1878176;
PURDUE UNIVERSITY WEST LAFAYETTE,1889090;
UNIVERSITY OF PITTSBURGH AT PITTSBURGH,1862457;
SCRIPPS RESEARCH INSTITUTE,1864308;
UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,1892891;
UNIVERSITY OF CALIFORNIA DAVIS,1862099;
UNIVERSITY OF TEXAS AUSTIN,1878171;
UNIVERSITY OF TEXAS AUSTIN,1878171;
MOUNT SINAI SCHOOL OF MEDICINE OF NYU,6374207;
UPSTATE MEDICAL UNIVERSITY,2086990;
TEXAS A&M UNIVERSITY SYSTEM,1899210;
UPSTATE MEDICAL UNIVERSITY,2086990;
STATE UNIVERSITY OF NEW YORK AT BUFFALO,1967703;
UNIVERSITY OF BRITISH COLUMBIA,1860374;
NORTHWESTERN UNIVERSITY,1862703;
EAST CAROLINA UNIVERSITY,1884351;
HACKENSACK UNIVERSITY MEDICAL CENTER,1879454;
UNIVERSITY OF NEBRASKA MEDICAL CENTER,1860813;
BROWN UNIVERSITY,1901811;
UNIV OF MASSACHUSETTS MED SCH WORCESTER,1878173;
UNIVERSITY OF PITTSBURGH AT PITTSBURGH,1862457;
LA BIOMED RES INST/ HARBOR UCLA MED CTR,1879915;
GEORGE WASHINGTON UNIVERSITY,1860336;
UNIVERSITY OF WASHINGTON,1864296;
UNIVERSITY OF WASHINGTON,1864296;
RHODE ISLAND HOSPITAL,1864295;
UNIVERSITY OF SOUTH FLORIDA,1899207;
SCRIPPS RESEARCH INSTITUTE,1877486;
ARKANSAS CHILDREN'S HOSPITAL RES INST,6382837;
SUNY DOWNSTATE MEDICAL CENTER,1873977;
THOMAS JEFFERSON UNIVERSITY,1899205;
RUTGERS THE ST UNIV OF NJ NEW BRUNSWICK,1861273;
UNIVERSITY OF NEBRASKA MEDICAL CENTER,1899204;
UNIVERSITY OF COLORADO AT BOULDER,1866059;
