BOSTON UNIVERSITY MEDICAL CAMPUS,6084497;
UNIVERSITY OF IOWA,1970848;
JOHNS HOPKINS UNIVERSITY,1881304;
JOHNS HOPKINS UNIVERSITY,1881304;
"RHODE ISLAND HOSPITAL (PROVIDENCE, RI)",1864295;
SUNY DOWNSTATE MEDICAL CENTER,1878168;
UNIVERSITY OF PITTSBURGH AT PITTSBURGH,6382542;
UNIVERSITY OF PITTSBURGH AT PITTSBURGH,6382542;
LOYOLA UNIVERSITY CHICAGO,1859187;
UNIVERSITY OF SOUTHERN CALIFORNIA,1878176;
UNIVERSITY OF NORTH DAKOTA,1970862;
UNIVERSITY OF NEBRASKA MEDICAL CENTER,1897581;
TEXAS A&M UNIVERSITY HEALTH SCIENCE CTR,1860814;
SUNY DOWNSTATE MEDICAL CENTER,2404985;
VETERANS MEDICAL RESEARCH FDN/SAN DIEGO,1902082;
UNIV OF MASSACHUSETTS MED SCH WORCESTER,1878173;
PURDUE UNIVERSITY WEST LAFAYETTE,1889090;
UNIVERSITY OF PITTSBURGH AT PITTSBURGH,1862457;
MOUNT SINAI SCHOOL OF MEDICINE OF NYU,1878147;
SCRIPPS RESEARCH INSTITUTE,1864308;
UNIVERSITY OF MICHIGAN AT ANN ARBOR,1864302;
OREGON HEALTH AND SCIENCE UNIVERSITY,1864301;
UNIVERSITY OF CALIFORNIA DAVIS,1862099;
UNIVERSITY OF TEXAS AUSTIN,1878171;
INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,1868766;
INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,1899212;
MOUNT SINAI SCHOOL OF MEDICINE OF NYU,6374207;
UNIVERSITY OF PITTSBURGH AT PITTSBURGH,1858809;
UNIVERSITY OF PITTSBURGH AT PITTSBURGH,1858809;
STANFORD UNIVERSITY,1891790;
SAN DIEGO STATE UNIVERSITY,1878177;
SAN DIEGO STATE UNIVERSITY,1878177;
SAN DIEGO STATE UNIVERSITY,1878177;
UPSTATE MEDICAL UNIVERSITY,2086990;
UNIVERSITY OF IOWA,2086990;
UNIVERSITY OF PITTSBURGH AT PITTSBURGH,1864299;
INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,1883532;
