UNIVERSITY OF PITTSBURGH AT PITTSBURGH,1871293; 
TEMPLE UNIV OF THE COMMONWEALTH,8086864; 8179150 (contact); 
UNIVERSITY OF HAWAII AT MANOA,1890285; 7757182 (contact); 
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",1905116; 
NORTHWESTERN UNIVERSITY AT CHICAGO,1928869; 
COLUMBIA UNIV NEW YORK MORNINGSIDE,1880521 (contact); 1894244; 1862421; 
BAYLOR COLLEGE OF MEDICINE,9748977; 
UNIVERSITY OF ALABAMA AT BIRMINGHAM,1874806; 
VANDERBILT UNIVERSITY,7905186; 9307940 (contact); 1891032; 
RBHS -CANCER INSTITUTE OF NEW JERSEY,1860005; 
MASSACHUSETTS GENERAL HOSPITAL,1901899; 
CINCINNATI CHILDRENS HOSP MED CTR,1882872 (contact); 6878512; 
COLUMBIA UNIV NEW YORK MORNINGSIDE,8585554; 
VANDERBILT UNIVERSITY,1864401; 
CHILDREN'S HOSPITAL & RES CTR AT OAKLAND,1884125 (contact); 6555026; 2069906; 
OHIO STATE UNIVERSITY,9249148; 1896959 (contact); 10417668; 
UNIVERSITY OF CALIFORNIA BERKELEY,1887823; 
YALE UNIVERSITY,1877832; 
UNIVERSITY OF TX MD ANDERSON CAN CTR,8687320; 
UNIVERSITY OF WASHINGTON,1868514; 
SAINT LOUIS UNIVERSITY,1965010; 
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,7355826; 
STANFORD UNIVERSITY,1923867; 
VANDERBILT UNIVERSITY,7011070; 
MASSACHUSETTS GENERAL HOSPITAL,8794558; 
UNIVERSITY OF MARYLAND BALTIMORE,1881872; 
NOVA SOUTHEASTERN UNIVERSITY,6851115; 
UNIVERSITY OF MICHIGAN,1861153; 
UNIVERSITY OF MARYLAND BALTIMORE,1862917; 
"UNIV OF MARYLAND, COLLEGE PARK",6834711; 
UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,1917879; 
INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,6166274; 
RBHS-NEW JERSEY MEDICAL SCHOOL,1972082; 
UNIVERSITY OF WISCONSIN-MADISON,6566881 (contact); 1870896; 
UNIV OF MASSACHUSETTS MED SCH WORCESTER,1859717; 
COLORADO STATE UNIVERSITY,1900992; 
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",1874447; 
UNIVERSITY OF CONNECTICUT SCH OF MED/DNT,6483291; 
UNIVERSITY OF PENNSYLVANIA,7824958; 
