BOSTON UNIVERSITY MEDICAL CAMPUS,6084497;
UNIVERSITY OF IOWA,1970848;
JOHNS HOPKINS UNIVERSITY,1881304;
JOHNS HOPKINS UNIVERSITY,1881304;
"RHODE ISLAND HOSPITAL (PROVIDENCE, RI)",1864295;
SUNY DOWNSTATE MEDICAL CENTER,1878168;
UNIVERSITY OF PITTSBURGH AT PITTSBURGH,6382542;
MOUNT SINAI SCHOOL OF MEDICINE OF NYU,6374207;
LOYOLA UNIVERSITY CHICAGO,1859187;
UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,2047731;
UNIVERSITY OF SOUTHERN CALIFORNIA,1878176;
UNIVERSITY OF SOUTHERN CALIFORNIA,1878176;
UNIVERSITY OF NORTH DAKOTA,1970862;
UNIVERSITY OF NEBRASKA MEDICAL CENTER,1897581;
TEXAS A&M UNIVERSITY HEALTH SCIENCE CTR,1860814;
VETERANS MEDICAL RESEARCH FDN/SAN DIEGO,1902082;
PURDUE UNIVERSITY WEST LAFAYETTE,1889090;
MOUNT SINAI SCHOOL OF MEDICINE OF NYU,1878147;
SCRIPPS RESEARCH INSTITUTE,1864308;
OREGON HEALTH AND SCIENCE UNIVERSITY,1864301;
UNIVERSITY OF CALIFORNIA DAVIS,1862099;
UNIVERSITY OF TEXAS AUSTIN,1878171;
INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,1868766;
MOUNT SINAI SCHOOL OF MEDICINE OF NYU,6374207;
UNIVERSITY OF PITTSBURGH AT PITTSBURGH,1858809;
SAN DIEGO STATE UNIVERSITY,1878177;
UPSTATE MEDICAL UNIVERSITY,2086990;
UNIVERSITY OF MICHIGAN AT ANN ARBOR,1862210;
UNIVERSITY OF MICHIGAN AT ANN ARBOR,1862210;
TEXAS A&M UNIVERSITY SYSTEM,1899210;
WASHINGTON STATE UNIVERSITY,1866029;
UNIVERSITY OF PENNSYLVANIA,1881638;
STATE UNIVERSITY OF NEW YORK AT BUFFALO,1878984;
UPSTATE MEDICAL UNIVERSITY,2086990;
STATE UNIVERSITY OF NEW YORK AT BUFFALO,1967703;
UNIVERSITY OF NEBRASKA MEDICAL CENTER,1868402;
UNIVERSITY OF BRITISH COLUMBIA,1860374;
